spot_name,latitude,longitude,ideal_swell_direction,lower_swell_direction,upper_swell_direction,ideal_wave_force,ideal_wind_direction,lower_wind_direction,upper_wind_direction,ideal_tide,wave_quality
Bettys Bay,-34.3667,18.8996,190-260,185-190,260-265,3-5,330-60,60-70,320-330,1..2,8
Pringle Bay,-34.3606,18.8219,210-270,205-210,270-275,4-6,100-160,90-100,160-170,1-2,6
Cool Bay,-34.3012,18.8545,190-270,185-190,270-275,1.5-2.5,70-130,60-70,130-140,3-5,6
Gordons Bay,-34.1553,18.8542,190-235,185-190,235-240,4-7,70-130,60-70,130-140,3-5,6.5
Strand,-34.1139,18.8298,190-235,185-190,235-240,2+,70-130,60-70,130-140,3-5,6
Muizenberg,-34.1,18.4907,190-225,185-190,225-230,2-6,280-30,30-40,270-280,3-5,6
Dangers,-34.1125,18.4497,170-210,165-170,210-215,2-6,280-31,30-40,270-280,3-5,7
Kalk Bay Reef,-34.1183,18.4441,170-210,165-170,210-215,2-6,280-32,30-40,270-280,3-5,8
Black Rocks,-34.1167,18.404,170-210,165-170,210-215,3-6,280-33,30-40,270-280,3-5,8
Dias Beach,-34.1117,18.4075,190-225,185-190,225-230,1-2,280-34,30-40,270-280,1-2,5
Platboom,-34.233,18.372,205-270,200-205,270-275,2.5-4.5,280-35,30-40,270-280,3-5,8
Extensions,-34.0913,18.3575,220-270,215-220,270-275,2.5-4.5,90-146,80-90,146-156,3-5,7.5
Scarborough,-34.2011,18.3648,205-270,200-205,270-275,2.5-4.5,90-146,80-90,146-156,3-5,6.5
Misty Cliffs,-34.2389,18.3365,205-270,200-205,270-275,2.5-4.5,0-85,350-0,85-95,3-5,5
Outer Kom,-34.2104,18.3471,205-270,200-205,270-275,2.5-4.5,90-146,80-90,146-156,3-5,7
Inner Kom,-34.2175,18.3638,205-270,200-205,270-275,2.5-4.5,90-146,80-91,146-156,3-5,5
Long Beach,-34.0675,18.3803,205-270,200-205,270-275,2.5-5,90-146,80-92,146-157,1-2,7
Dunes,-34.0841,18.4445,215-270,210-215,270-275,2.5-4.5,90-146,80-93,146-158,1-2,9
Hoek,-34.0714,18.4547,215-270,210-215,270-275,2-3.5,90-146,80-94,146-159,1-2,8
Sandy Bay,-33.972,18.349,215-270,210-215,270-275,3-4.5,90-146,80-95,146-160,1-2,8
Llandudno,-34.0188,18.3657,215-270,210-215,270-275,1.8-3,90-146,80-96,146-161,1-2,7
Glen Beach,-33.9527,18.3763,200-270,195-200,270-275,2-3,90-146,80-97,146-162,1-3,5.5
Queens Beach,-33.9561,18.356,215-270,210-215,270-275,1.5-2.5,90-146,80-98,146-163,3-5,4.5
Sollys,-33.9543,18.3661,215-270,210-215,270-275,1.5-2.5,90-146,80-99,146-164,3-5,4
Off the Wall,-33.9509,18.3675,215-270,210-215,270-275,2-4,90-146,80-100,146-165,3-5,7
Thermos,-33.9484,18.3741,215-270,210-215,270-275,3-5,90-146,80-101,146-166,3-5,8
Derdesteen,-33.9464,18.4112,215-270,210-215,270-275,2-4,0-100,350-0,100-110,3-5,8
Elands Bay,-32.3119,18.3405,215-270,210-215,270-275,2-5,90-146,80-90,146-156,3-5,9
